Metropolitan area 2017,million_chained_2009_usd
New York,1444484
Los Angeles,904899
Chicago,583137
Dallas,479678
Washington,460026
Houston,436369
San Francisco,425358
Philadelphia,387217
Boston,379499
Atlanta,334488
Seattle,312587
Miami,296486
San Jose,256419
Detroit,228069
Minneapolis,226152
Phoenix,210968
San Diego,201986
Denver,185942
Baltimore,165903
Portland,156553
Charlotte,146630
St. Louis,139509
Riverside,135986
Austin,135072
Pittsburgh,131222
Tampa,127432
Indianapolis,122608
Cleveland,120380
Cincinnati,119223
San Antonio,118241
Columbus,117250
Nashville,115716
Orlando,114969
Kansas City,114418
Sacramento,108732
Las Vegas,96062
Milwaukee,91962
Bridgeport,82721
Virginia Beach,81821
Hartford,79244
Salt Lake City,74363
Raleigh,72626
Providence,71739
Richmond,70677
Oklahoma City,67714
New Orleans,67023
Jacksonville,65830
Louisville/Jefferson County,65700
Memphis,62059
Urban Honolulu,57861
Omaha,56229
Birmingham,55927
Tulsa,54921
Grand Rapids,52734
Buffalo,50980
Des Moines,49031
Rochester,48504
Albany,46524
Baton Rouge,45015
Madison,43597
Oxnard,43400
New Haven,39442
Allentown,38613
Albuquerque,38523
Worcester,38197
Durham,37278
Greenville,36527
Knoxville,36179
Charleston,36074
Fresno,35866
Greensboro,35596
Columbia,35421
Dayton,35397
Little Rock,34241
Tucson,33841
Bakersfield,33594
Harrisburg,32491
Akron,32386
Midland,29825
Wichita,29610
Boise City,29425
Syracuse,29234
Colorado Springs,28886
Toledo,28300
Portland,27812
North Port,27015
Jackson,26268
Lexington,26079
Trenton,25759
Fayetteville,25341
El Paso,25332
Winston,25263
Lancaster,25170
Manchester,25103
Santa Rosa,24985
Anchorage,24682
Cape Coral,24234
Springfield,24050
Stockton,23556
Chattanooga,23425